"","organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia"
"95","jdopaz0000fed","Jdo Paz Federación","jdopazcat1-fcion@jusentrerios.gov.ar","Civil y Comercial","Federación","Federación",1,"jdo","paz"
"96","jdopaz0000fel","Jdo Paz Feliciano","jdopazcat1-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",1,"jdo","paz"
"97","jdopaz0000frl","Jdo Paz Federal","jdopazcat1-fral@jusentrerios.gov.ar","Civil y Comercial","Federal","Federal",1,"jdo","paz"
"98","jdopaz0000gal","Jdo Paz Galarza","jdopazcat3-ggal@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Galarza",3,"jdo","paz"
"99","jdopaz0000gay","Jdo Paz Gualeguay","jdopazcat1-gua@jusentrerios.gov.ar","Civil y Comercial","Gualeguay","Gualeguay",1,"jdo","paz"
"100","jdopaz0000gca","Jdo Paz Gral Campos","jdopazcat2-cam@jusentrerios.gov.ar","Civil y Comercial","Concordia","General Campos",2,"jdo","paz"
"101","jdopaz0000gch","Jdo Paz Gualeguaychú","jdopazcat1-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",1,"jdo","paz"
"102","jdopaz0000has","Jdo Paz Hasenkamp","jdopazcat2-has@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hasenkamp",2,"jdo","paz"
"103","jdopaz0000her","Jdo Paz Hernandarias","jdopazcat2-her@jusentrerios.gov.ar","Civil y Comercial","Paraná","Hernandarias",2,"jdo","paz"
"104","jdopaz0000hez","Jdo Paz Hernandez","jdopazcat3-her@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Hernandez",2,"jdo","paz"
"105","jdopaz0000ibi","Jdo Paz Ibicuy","jdopazcat3-ibi@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Ibicuy",3,"jdo","paz"
"106","jdopaz0000lar","Jdo Paz Larroque","jdopazcat2-lar@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Larroque",2,"jdo","paz"
"107","jdopaz0000lgo","Jdo Paz Lucas Gonzalez","jdopazcat3-lgon@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Lucas Gonzalez",3,"jdo","paz"
"108","jdopaz0000lpa","Jdo Paz La Paz","jdopazcat1-lapaz@jusentrerios.gov.ar","Civil y Comercial","La Paz","La Paz",1,"jdo","paz"
"109","jdopaz0000mac","Jdo Paz Macia","jdopazcat2-mac@jusentrerios.gov.ar","Civil y Comercial","Tala","Macia",2,"jdo","paz"
"110","jdopaz0000man","Jdo Paz Mansilla","jdopazcat3-man@jusentrerios.gov.ar","Civil y Comercial","Tala","Mansilla",3,"jdo","paz"
"111","jdopaz0000mgr","Jdo Paz Maria Grande","jdopazcat2-mgra@jusentrerios.gov.ar","Civil y Comercial","Paraná","Maria Grande",2,"jdo","paz"
"112","jdopaz0000nog","Jdo Paz Nogoyá","jdopazcat1-nog@jusentrerios.gov.ar","Civil y Comercial","Nogoyá","Nogoyá",1,"jdo","paz"
"113","jdopaz0000ove","Jdo Paz Oro Verde","jdodepazcat3-ov@jusentrerios.gov.ar","Civil y Comercial","Paraná","Oro Verde",3,"jdo","paz"
"114","jdopaz0000pbr","Jdo Paz Pueblo Brugo","jdopazcat3-pbru@jusentrerios.gov.ar","Civil y Comercial","Paraná","Pueblo Brugo",3,"jdo","paz"
"115","jdopaz0000ram","Jdo Paz Ramirez","jdopazcat2-ram@jusentrerios.gov.ar","Civil y Comercial","Diamante","Ramirez",2,"jdo","paz"
"116","jdopaz0000sbe","Jdo Paz San Benito","jdopazcat2-sbenito@jusentrerios.gov.ar","Civil y Comercial","Paraná","San Benito",2,"jdo","paz"
"117","jdopaz0000seg","Jdo Paz Segui","jdopazcat3-seg@jusentrerios.gov.ar","Civil y Comercial","Paraná","Segui",3,"jdo","paz"
"118","jdopaz0000sel","Jdo de Paz Sta Elena","jdopazcat2-ele@jusentrerios.gov.ar","Civil y Comercial","La Paz","Santa Elena",2,"jdo","paz"
"119","jdopaz0000sja","Jdo Paz San Jaime Front","jdopazcat3-sjf@jusentrerios.gov.ar","Civil y Comercial","Chajarí","San Jaime de la Frontera",3,"jdo","paz"
"120","jdopaz0000sjo","Jdo Paz San Jose","jdopazcat2-sjose@jusentrerios.gov.ar","Civil y Comercial","Colón","San Jose",2,"jdo","paz"
"121","jdopaz0000slu","Jdo Paz Sauce de Luna","jdopazcat2-luna@jusentrerios.gov.ar","Civil y Comercial","Federal","Sauce de Luna",2,"jdo","paz"
"122","jdopaz0000ssa","Jdo Paz San Svdor","jdopazcat1-ssdor@jusentrerios.gov.ar","Civil y Comercial","San Salvador","San Salvador",1,"jdo","paz"
"123","jdopaz0000tal","Jdo Paz Rosario Tala","jdopazcat1-tala@jusentrerios.gov.ar","Civil y Comercial","Tala","Rosario del Tala",1,"jdo","paz"
"124","jdopaz0000uba","Jdo Paz Ubajay","jdopazcat2-uba@jusentrerios.gov.ar","Civil y Comercial","Colón","Ubajay",3,"jdo","paz"
"125","jdopaz0000urd","Jdo Paz Urdinarrain","jdopazcat2-urd@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Urdinarrain",2,"jdo","paz"
"126","jdopaz0000uru","Jdo Paz C.del Uruguay","jdopazcat1-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",1,"jdo","paz"
"127","jdopaz0000vca","Jdo Paz Villa Clara","jdopazcat3-vcla@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Clara",3,"jdo","paz"
"128","jdopaz0000vdo","Jdo Paz Villa Dominguez","jdopazcat3-vdom@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villa Dominguez",3,"jdo","paz"
"129","jdopaz0000vel","Jdo Paz Villa Elisa","jdopazcat2-veli@jusentrerios.gov.ar","Civil y Comercial","Colón","Villa Elisa",2,"jdo","paz"
"130","jdopaz0000via","Jdo Paz Viale","jdopazcat2-via@jusentrerios.gov.ar","Civil y Comercial","Paraná","Viale",2,"jdo","paz"
"131","jdopaz0000vic","Jdo Paz Victoria","jdopazcat1-vic@jusentrerios.gov.ar","Civil y Comercial","Victoria","Victoria",1,"jdo","paz"
"132","jdopaz0000vil","Jdo Paz Villaguay","jdopazcat1-vil@jusentrerios.gov.ar","Civil y Comercial","Villaguay","Villaguay",1,"jdo","paz"
"133","jdopaz0000vma","Jdo Paz Villa Mantero","jdopazcat3-vman@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa Mantero",3,"jdo","paz"
"134","jdopaz0000vpa","Jdo Paz V.Paranacito","jdopaz-vpa@jusentrerios.gov.ar","Civil y Comercial","Islas del Ibicuy","Villa Paranacito",3,"jdo","paz"
"135","jdopaz0000vsa","Jdo Paz Villa San Marcial","jdopazcat3-vsm@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Villa San Marcial",3,"jdo","paz"
"136","jdopaz0000vur","Jdo Paz Villa Urquiza","jdopazcat3-vu@jusentrerios.gov.ar","Civil y Comercial","Paraná","Villa Urquiza",3,"jdo","paz"
"137","jdopaz0100pna","Jdo Paz 1 Parana","jdopaz1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",1,"jdo","paz"
"138","jdopaz0200pna","Jdo Paz 2 Parana","jdopaz2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",1,"jdo","paz"
"139","jdopen0000fel","Jdo Penal Civ Com y Laboral","jdogarytran-fel@jusentrerios.gov.ar","Civil y Comercial","Feliciano","Feliciano",NA,"jdo","cco|lab|pen"
"140","jdopep0000gch","Jdo de Ejec.Penas y Med.Seguridad","jdoepms-gchu@jusentrerios.gov.ar","Penal","Gualeguaychú","Gualeguaychú",NA,"jdo","pep"
"141","jdopep0000pna","Jdo de Ejec.Penas y Med.Seguridad","jdoepms-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jdo","pep"
"142","jdopna0000pna","Jdo Penal de Niños y Adolescentes","jdopenmen-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"jdo","pna"
"143","turvol0100pna","Turno Voluntario Paraná","turnovoluntario@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",3,"jdo","paz"
"144","jdolab0000col","Jdo Laboral","jdolab-col@jusentrerios.gov.ar","Laboral","Colón","Colón",NA,"jdo","lab"
"145","jdopaz0000ara","Jdo Paz Aranguren",NA,"Civil y Comercial","Nogoyá","Aranguren",3,"jdo","paz"
