nro,tproc,as,ccon,finicio,fdesp,fvenc1,fvenc2,fres,tres,mat,justiciables,reccap,iep
33564,MONITORIO EJECUTIVO,S,0,13/09/2017,26/09/2017,11/10/2017,26/10/2017,26/09/2017,8,NA,2,7965.73,jdopaz0200pna
17543,SUCESORIO AB INTESTATO,S,0,31/03/2016,06/09/2017,20/09/2017,05/10/2017,11/09/2017,NA,NA,5,0,jdocco0200pna
33490,MONITORIO APREMIO,S,0,05/09/2017,18/09/2017,03/10/2017,18/10/2017,18/09/2017,8,NA,2,8463.63,jdopaz0200pna
47697,MONITORIO APREMIO,S,0,05/09/2017,13/09/2017,27/09/2017,12/10/2017,13/09/2017,8,NA,2,64403.5,jdocco1002pna
33359,MONITORIO EJECUTIVO,S,0,23/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,1,16658.06,jdopaz0200pna
32795,MONITORIO EJECUTIVO,S,0,23/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,11796.68,jdopaz0100pna
47371,MONITORIO EJECUTIVO,S,0,04/08/2017,12/09/2017,26/09/2017,11/10/2017,12/09/2017,8,NA,2,48884.64,jdocco1001pna
20691,EJECUCION DE HONORARIOS,s,1,17/10/2016,03/10/2017,18/10/2017,01/11/2017,03/10/2017,7,NA,3,0,jdofam0200pna
47597,MONITORIO APREMIO,S,0,30/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,39113.41,jdocco1001pna
47608,MONITORIO APREMIO,S,0,30/08/2017,08/09/2017,22/09/2017,09/10/2017,08/09/2017,8,NA,2,50423,jdocco1002pna
21964,DIVORCIO,S,0,06/09/2017,26/09/2017,27/11/2017,26/02/2018,26/09/2017,7,NA,2,0,jdofam0200pna
21581,HOMOLOGACION DE CONVENIO (CIVIL),S,0,30/05/2017,27/06/2017,25/07/2017,08/08/2017,27/06/2017,7,f,2,0,jdofam0200pna
21464,DIVORCIO,S,0,02/05/2017,29/06/2017,08/09/2017,07/11/2017,29/06/2017,7,NA,2,0,jdofam0200pna
21667,DIVORCIO,S,0,21/06/2017,01/09/2017,31/10/2017,01/02/2018,01/09/2017,7,NA,2,0,jdofam0200pna
47469,MONITORIO EJECUTIVO,S,0,17/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,2,29534.99,jdocco1001pna
28279,EJECUTIVO,S,0,13/11/2015,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,2554,jdopaz0100pna
33010,MONITORIO EJECUTIVO,S,0,11/09/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,3,17160,jdopaz0100pna
33556,MONITORIO APREMIO,S,0,13/09/2017,26/09/2017,11/10/2017,26/10/2017,26/09/2017,8,NA,2,8131.24,jdopaz0200pna
21256,ADOPCION PLENA,S,0,14/03/2017,01/09/2017,19/10/2017,04/12/2017,05/09/2017,7,NA,2,0,jdofam0200pna
21179,MEDIDA CAUTELAR PROTECCION DE PERSONA,S,1,02/03/2017,27/07/2017,10/08/2017,25/08/2017,31/07/2017,7,NA,2,0,jdofam0200pna
21878,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,1,23/08/2017,01/09/2017,08/09/2017,15/09/2017,01/09/2017,NA,NA,1,0,jdofam0100pna
33442,MONITORIO APREMIO,S,0,30/08/2017,11/09/2017,25/09/2017,10/10/2017,11/09/2017,8,NA,1,12635.18,jdopaz0200pna
32820,MONITORIO EJECUTIVO,S,0,24/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,2980,jdopaz0100pna
21378,ALIMENTOS,S,1,13/03/2017,09/08/2017,16/08/2017,24/08/2017,22/08/2017,7,NA,3,0,jdofam0200pna
33353,MONITORIO EJECUTIVO,S,0,23/08/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,8,NA,1,19209.96,jdopaz0200pna
17722,ORDINARIO FILIACION ALIMENTOS,S,0,30/06/2014,02/06/2017,14/08/2017,11/10/2017,24/07/2017,7,NA,2,0,jdofam0200pna
21869,HOMOLOGACION DE CONVENIO (CIVIL),S,0,22/08/2017,19/09/2017,04/10/2017,19/10/2017,19/09/2017,NA,NA,2,0,jdofam0100pna
47309,MONITORIO EJECUTIVO,S,0,01/08/2017,26/09/2017,11/10/2017,26/10/2017,26/09/2017,0,NA,2,0,jdocco1001pna
33493,MONITORIO APREMIO,S,0,05/09/2017,19/09/2017,04/10/2017,19/10/2017,19/09/2017,8,NA,2,13936.43,jdopaz0200pna
16444,MEDIDA DE PROTECCION EXCEPCIONAL,S,0,30/10/2015,26/07/2017,24/08/2017,21/09/2017,12/09/2017,NA,F,1,0,jdofam0300pna
32813,MONITORIO EJECUTIVO,S,0,23/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,10102.98,jdopaz0100pna
32863,MONITORIO APREMIO,S,0,30/08/2017,11/09/2017,25/09/2017,11/10/2017,11/09/2017,8,NA,3,5115.21,jdopaz0100pna
33086,EJECUTIVO,S,0,27/06/2017,05/09/2017,19/09/2017,04/10/2017,05/09/2017,NA,NA,2,1219.7,jdopaz0200pna
47746,MONITORIO APREMIO,S,0,05/09/2017,13/09/2017,27/09/2017,12/10/2017,13/09/2017,8,NA,4,48814.19,jdocco1002pna
21928,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,0,28/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,7,NA,2,0,jdofam0200pna
19085,DESALOJO,S,1,04/07/2016,10/04/2017,09/06/2017,22/08/2017,13/09/2017,7,NA,2,0,jdocco0700pna
47330,MONITORIO EJECUTIVO,S,0,01/08/2017,18/09/2017,03/10/2017,18/10/2017,18/09/2017,8,NA,2,49930.54,jdocco1002pna
19014,DIVORCIO,S,0,28/04/2017,24/07/2017,22/08/2017,19/09/2017,28/08/2017,NA,F,2,0,jdofam0300pna
17617,ALIMENTOS Y LITIS EXPENSAS,S,0,09/12/2013,31/08/2017,14/09/2017,28/09/2017,31/08/2017,7,NA,5,0,jdofam0200pna
47534,MONITORIO APREMIO,S,0,23/08/2017,12/09/2017,26/09/2017,11/10/2017,12/09/2017,8,NA,2,58186.62,jdocco1002pna
32870,MONITORIO APREMIO,S,0,30/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,2,15327.01,jdopaz0100pna
47894,MONITORIO EJECUTIVO,S,0,25/09/2017,28/09/2017,13/10/2017,30/10/2017,28/09/2017,8,NA,3,37473.74,jdocco1001pna
33433,MONITORIO APREMIO,S,0,30/08/2017,18/09/2017,03/10/2017,18/10/2017,18/09/2017,8,NA,2,7731.5,jdopaz0200pna
47739,MONITORIO EJECUTIVO,S,0,11/09/2017,14/09/2017,28/09/2017,13/10/2017,14/09/2017,8,NA,2,3e4,jdocco1001pna
33437,MONITORIO APREMIO,S,0,30/08/2017,18/09/2017,02/10/2017,17/10/2017,18/09/2017,8,NA,1,3864,jdopaz0200pna
33530,MONITORIO EJECUTIVO,S,0,06/09/2017,20/09/2017,28/09/2017,13/10/2017,20/09/2017,8,NA,1,897.84,jdopaz0200pna
33269,MONITORIO EJECUTIVO,S,0,01/08/2017,04/09/2017,18/09/2017,03/10/2017,04/09/2017,8,NA,2,11642.3,jdopaz0200pna
47785,MONITORIO EJECUTIVO,S,0,12/09/2017,27/09/2017,12/10/2017,27/10/2017,27/09/2017,8,NA,3,88951.94,jdocco1002pna
32900,MONITORIO APREMIO,S,0,30/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,9409.4,jdopaz0100pna
33620,MONITORIO EJECUTIVO,S,0,22/09/2017,28/09/2017,13/10/2017,30/10/2017,28/09/2017,8,NA,1,8500,jdopaz0200pna
19081,ACCION DE AMPARO,S,1,31/08/2017,05/09/2017,08/09/2017,NA,05/09/2017,7,NA,2,0,jdocco0800pna
16836,DIVORCIO,S,0,05/02/2016,09/08/2017,07/09/2017,06/10/2017,14/09/2017,NA,F,1,0,jdofam0300pna
33062,MONITORIO APREMIO,S,0,19/09/2017,26/09/2017,12/10/2017,26/10/2017,26/09/2017,8,NA,2,18314.76,jdopaz0100pna
17350,EJECUCION DE HONORARIOS,s,0,29/05/2017,13/09/2017,27/09/2017,13/10/2017,14/09/2017,NA,NA,2,21700,jdocco0100pna
32630,EJECUTIVO,S,0,30/06/2017,21/09/2017,06/10/2017,23/10/2017,21/09/2017,8,NA,2,2014.6,jdopaz0100pna
19208,DIVORCIO,S,0,05/06/2017,09/08/2017,07/09/2017,06/10/2017,14/09/2017,NA,F,1,0,jdofam0300pna
38094,MONITORIO,S,0,08/05/2015,14/09/2017,28/09/2017,13/10/2017,14/09/2017,8,NA,2,0,jdocco1002pna
47754,MONITORIO APREMIO,S,0,12/09/2017,15/09/2017,02/10/2017,17/10/2017,15/09/2017,8,NA,2,70542,jdocco1001pna
21967,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,0,07/09/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,7,NA,2,0,jdofam0200pna
33403,MONITORIO APREMIO,S,0,30/08/2017,18/09/2017,02/10/2017,17/10/2017,18/09/2017,8,NA,2,4511.5,jdopaz0200pna
32903,MONITORIO APREMIO,S,0,30/08/2017,08/09/2017,22/09/2017,10/10/2017,08/09/2017,8,NA,2,4177.6,jdopaz0100pna
47619,MONITORIO EJECUTIVO,S,0,30/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,3,321730.12,jdocco1002pna
11075,EJECUCION DE SENTENCIA Y HONORARIOS,S,0,07/07/2008,26/09/2017,11/10/2017,26/10/2017,26/09/2017,10,NA,2,0,jdocco0600pna
14181,EJECUCION DE SENTENCIA Y HONORARIOS,S,0,15/05/2014,28/09/2017,13/10/2017,30/10/2017,28/09/2017,10,NA,3,0,jdocco0600pna
20831,DIVORCIO,S,0,18/11/2016,15/08/2017,13/10/2017,14/12/2017,15/08/2017,7,F,2,0,jdofam0200pna
22065,DIVORCIO,S,0,27/09/2017,09/10/2017,23/11/2017,08/02/2018,09/10/2017,NA,NA,1,0,jdofam0100pna
21835,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,s,0,10/08/2017,16/08/2017,01/09/2017,15/09/2017,16/08/2017,7,NA,2,0,jdofam0200pna
44840,EJECUCION DE HONORARIOS,S,0,28/12/2016,01/09/2017,15/09/2017,02/10/2017,01/09/2017,NA,NA,3,8775,jdocco1002pna
33324,MONITORIO EJECUTIVO,S,0,17/08/2017,21/09/2017,06/10/2017,23/10/2017,21/09/2017,8,NA,1,16107.83,jdopaz0200pna
18447,DECLARACION DE INCAPACIDAD,S,0,23/12/2014,14/09/2017,06/10/2017,30/10/2017,27/09/2017,7,NA,3,0,jdofam0200pna
15358,ORDINARIO RESOLUCION DE CONTRATO,S,1,26/07/2016,19/05/2017,01/08/2017,27/09/2017,31/08/2017,10,NA,3,0,jdocco0600pna
20967,HOMOLOGACION DE CONVENIO (CIVIL),S,1,22/12/2016,07/09/2017,21/09/2017,06/10/2017,07/09/2017,1,NA,2,0,jdofam0200pna
45356,MONITORIO APREMIO,S,0,01/02/2017,20/09/2017,06/11/2017,20/10/2017,20/09/2017,6,NA,2,43390.2,jdocco1001pna
21752,HOMOLOGACION DE CONVENIO,S,1,04/07/2017,09/10/2017,23/10/2017,06/11/2017,09/10/2017,NA,NA,1,0,jdofam0100pna
12881,MEDIDA DE PROTECCION EXCEPCIONAL,S,0,30/12/2013,19/06/2017,01/08/2017,29/08/2017,01/08/2017,NA,F,1,0,jdofam0300pna
32120,MONITORIO EJECUTIVO,S,0,28/03/2017,12/09/2017,26/09/2017,12/10/2017,12/09/2017,8,NA,2,2968.42,jdopaz0100pna
15604,EJECUCION DE HONORARIOS,S,0,21/02/2017,13/09/2017,27/09/2017,12/10/2017,13/09/2017,10,NA,2,0,jdocco0600pna
32988,EJECUTIVO,S,0,05/06/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,NA,NA,2,3397,jdopaz0200pna
33425,MONITORIO EJECUTIVO,S,0,30/08/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,8,NA,1,10279,jdopaz0200pna
47384,MONITORIO APREMIO,S,0,04/08/2017,08/09/2017,22/09/2017,09/10/2017,08/09/2017,8,NA,2,22168,jdocco1002pna
47725,MONITORIO APREMIO,S,0,08/09/2017,13/09/2017,27/09/2017,12/10/2017,13/09/2017,8,NA,2,67058.05,jdocco1001pna
32929,ACCION DE AMPARO POR MORA,s,0,07/09/2017,16/09/2017,19/09/2017,19/09/2017,16/09/2017,8,NA,3,0,jdopaz0100pna
33440,MONITORIO APREMIO,S,0,30/08/2017,18/09/2017,28/09/2017,13/10/2017,18/09/2017,8,NA,2,9518.37,jdopaz0200pna
32864,MONITORIO APREMIO,S,0,30/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,2,9488,jdopaz0100pna
33074,MONITORIO APREMIO,S,0,19/09/2017,25/09/2017,11/10/2017,25/10/2017,25/09/2017,8,NA,2,8082.54,jdopaz0100pna
33006,EJECUTIVO,S,0,15/06/2017,04/09/2017,18/09/2017,03/10/2017,04/09/2017,NA,NA,1,771,jdopaz0200pna
32616,EJECUTIVO,s,0,30/06/2017,12/09/2017,26/09/2017,12/10/2017,12/09/2017,8,NA,2,1316.6,jdopaz0100pna
32867,MONITORIO APREMIO,S,0,30/08/2017,08/09/2017,22/09/2017,10/10/2017,08/09/2017,8,NA,2,6152,jdopaz0100pna
32989,MONITORIO EJECUTIVO,S,0,07/09/2017,13/09/2017,27/09/2017,13/10/2017,13/09/2017,8,NA,2,1291.19,jdopaz0100pna
47654,MONITORIO APREMIO,S,0,31/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,2,64593,jdocco1002pna
47488,MONITORIO EJECUTIVO,S,0,17/08/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,8,NA,2,30095.42,jdocco1002pna
32766,MONITORIO EJECUTIVO,S,0,17/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,8272.29,jdopaz0100pna
33399,MONITORIO APREMIO,S,0,30/08/2017,12/09/2017,26/09/2017,11/10/2017,12/09/2017,8,NA,2,19230.55,jdopaz0200pna
18519,DIVORCIO,S,0,08/02/2017,27/06/2017,08/08/2017,06/09/2017,04/08/2017,NA,F,2,0,jdofam0300pna
33341,MONITORIO EJECUTIVO,S,0,23/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,2,2292,jdopaz0200pna
33478,MONITORIO APREMIO,S,0,05/09/2017,18/09/2017,02/10/2017,17/10/2017,18/09/2017,8,NA,2,9475.8,jdopaz0200pna
47659,MONITORIO EJECUTIVO,S,0,31/08/2017,12/09/2017,26/09/2017,11/10/2017,12/09/2017,8,NA,2,23230,jdocco1002pna
21287,DIVORCIO,S,1,21/03/2017,21/09/2017,22/11/2017,21/02/2018,21/09/2017,7,NA,2,0,jdofam0200pna
32936,MONITORIO APREMIO,s,0,05/09/2017,19/09/2017,04/10/2017,19/10/2017,19/09/2017,8,NA,3,7368.44,jdopaz0100pna
47762,MONITORIO APREMIO,S,0,12/09/2017,15/09/2017,02/10/2017,17/10/2017,15/09/2017,8,NA,2,36177,jdocco1001pna
33483,MONITORIO APREMIO,S,0,05/09/2017,19/09/2017,04/10/2017,19/10/2017,19/09/2017,8,NA,1,11763.73,jdopaz0200pna
47466,MONITORIO EJECUTIVO,S,0,17/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,2,51373,jdocco1001pna
33387,MONITORIO EJECUTIVO,S,0,24/08/2017,11/09/2017,25/09/2017,10/10/2017,11/09/2017,8,NA,2,11046,jdopaz0200pna
33318,MONITORIO EJECUTIVO,S,0,17/08/2017,22/09/2017,09/10/2017,24/10/2017,22/09/2017,8,NA,2,5743.84,jdopaz0200pna
32995,MONITORIO EJECUTIVO,S,0,07/09/2017,17/09/2017,03/10/2017,18/10/2017,17/09/2017,8,NA,2,1702.47,jdopaz0100pna
32878,MONITORIO EJECUTIVO,S,0,30/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,2,11867.3,jdopaz0100pna
47770,MONITORIO APREMIO,S,0,12/09/2017,15/09/2017,02/10/2017,17/10/2017,15/09/2017,8,NA,2,81882,jdocco1002pna
21826,HOMOLOGACION DE CONVENIO (CIVIL),s,0,03/08/2017,22/08/2017,06/09/2017,20/09/2017,22/08/2017,7,NA,1,0,jdofam0200pna
33129,MONITORIO EJECUTIVO,S,0,29/06/2017,20/09/2017,05/10/2017,20/10/2017,20/10/2017,8,NA,1,1995,jdopaz0200pna
32823,MONITORIO EJECUTIVO,S,0,24/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,2,20380,jdopaz0100pna
33398,MONITORIO APREMIO,S,0,30/08/2017,20/09/2017,05/10/2017,20/10/2017,20/09/2017,8,NA,2,6020.3,jdopaz0200pna
32768,MONITORIO EJECUTIVO,s,0,17/08/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,8,NA,2,7690,jdopaz0100pna
20848,MEDIDA DE PROTECCION EXCEPCIONAL,S,0,17/02/2017,24/08/2017,01/09/2017,08/09/2017,07/09/2017,NA,NA,2,0,jdofam0100pna
47564,EJECUCION DE HONORARIOS,S,0,25/08/2017,25/09/2017,10/10/2017,25/10/2017,25/09/2017,6,NA,2,2800,jdocco1002pna
32984,MONITORIO EJECUTIVO,S,0,07/09/2017,13/09/2017,27/09/2017,13/10/2017,13/09/2017,8,NA,2,1732.52,jdopaz0100pna
41229,MONITORIO EJECUTIVO,S,0,23/12/2015,14/09/2017,28/09/2017,13/10/2017,14/09/2017,8,NA,2,17215.98,jdocco1001pna
20234,HOMOLOGACION DE CONVENIO,S,0,03/12/2015,04/08/2017,18/08/2017,04/08/2017,04/08/2017,7,NA,1,0,jdofam0200pna
33334,MONITORIO EJECUTIVO,S,0,17/08/2017,22/09/2017,09/10/2017,24/10/2017,22/09/2017,8,NA,1,15360,jdopaz0200pna
33128,MONITORIO EJECUTIVO,S,0,29/06/2017,18/09/2017,28/09/2017,13/10/2017,18/09/2017,8,NA,1,1632,jdopaz0200pna
30221,MONITORIO EJECUTIVO,S,0,10/08/2016,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,1,8220.96,jdopaz0200pna
32793,MONITORIO EJECUTIVO,S,0,23/08/2017,12/09/2017,26/09/2017,12/10/2017,12/09/2017,8,NA,2,14725.62,jdopaz0100pna
47148,MONITORIO EJECUTIVO,S,0,06/07/2017,22/09/2017,09/10/2017,24/10/2017,22/09/2017,8,NA,2,37003.67,jdocco1002pna
33064,MONITORIO APREMIO,S,0,19/09/2017,27/09/2017,13/10/2017,27/10/2017,27/09/2017,8,NA,2,20134.76,jdopaz0100pna
45785,LEVANTAMIENTO DE EMBARGO SIN TERCERIA,S,0,24/02/2017,07/09/2017,21/09/2017,06/10/2017,07/09/2017,7,NA,2,0,jdocco1002pna
33086,MONITORIO APREMIO,S,0,19/09/2017,25/09/2017,11/10/2017,25/10/2017,25/09/2017,8,NA,2,10383.46,jdopaz0100pna
32874,MONITORIO APREMIO,s,0,30/08/2017,14/09/2017,28/09/2017,16/10/2017,14/09/2017,8,NA,2,4508,jdopaz0100pna
16247,EJECUCION DE SENTENCIA Y HONORARIOS,s,1,05/02/2015,30/08/2017,14/09/2017,28/09/2017,04/09/2017,NA,NA,3,7350,jdocco0100pna
47577,MONITORIO EJECUTIVO,S,0,30/08/2017,28/09/2017,13/10/2017,30/10/2017,28/09/2017,8,NA,2,29366.3,jdocco1001pna
19168,MEDIDA CAUTELAR ALIMENTOS PROVISORIOS,S,1,29/05/2017,13/06/2017,28/06/2017,26/07/2017,21/06/2017,NA,F,1,0,jdofam0300pna
47701,MONITORIO APREMIO,S,0,05/09/2017,15/09/2017,02/10/2017,17/10/2017,15/09/2017,8,NA,2,50391.26,jdocco1002pna
18984,DIVORCIO,S,0,21/04/2017,21/06/2017,02/08/2017,30/08/2017,02/08/2017,NA,F,2,0,jdofam0300pna
32612,EJECUTIVO,S,0,30/06/2017,21/09/2017,06/10/2017,23/10/2017,21/09/2017,8,NA,2,3397,jdopaz0100pna
46019,EJECUTIVO,S,0,17/03/2017,18/09/2017,03/10/2017,18/10/2017,18/09/2017,NA,NA,2,22200,jdocco1001pna
33322,MONITORIO EJECUTIVO,S,0,17/08/2017,06/09/2017,20/09/2017,05/10/2017,06/09/2017,8,NA,1,0,jdopaz0200pna
